Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2020-10-04,140.0,160.0,840.0,580.0,700.0,6,10,53.0,
2020-10-05,200.0,140.0,160.0,840.0,400.0,0,10,49.0,
2020-10-06,0.0,200.0,140.0,160.0,440.0,1,10,39.0,
2020-10-07,560.0,0.0,200.0,140.0,120.0,2,10,39.0,
2020-10-08,240.0,560.0,0.0,200.0,580.0,3,10,46.0,
2020-10-09,160.0,240.0,560.0,0.0,840.0,4,10,46.0,
2020-10-10,380.0,160.0,240.0,560.0,160.0,5,10,33.0,
2020-10-11,40.0,380.0,160.0,240.0,140.0,6,10,34.0,
2020-10-12,80.0,40.0,380.0,160.0,200.0,0,10,15.0,
2020-10-13,140.0,80.0,40.0,380.0,0.0,1,10,14.0,
2020-10-14,100.0,140.0,80.0,40.0,560.0,2,10,20.0,
2020-10-15,0.0,100.0,140.0,80.0,240.0,3,10,20.0,
2020-10-16,660.0,0.0,100.0,140.0,160.0,4,10,24.0,
2020-10-17,360.0,660.0,0.0,100.0,380.0,5,10,19.0,
2020-10-18,180.0,360.0,660.0,0.0,40.0,6,10,19.0,
2020-10-19,500.0,180.0,360.0,660.0,80.0,0,10,38.0,
2020-10-20,220.0,500.0,180.0,360.0,140.0,1,10,25.0,
2020-10-21,100.0,220.0,500.0,180.0,100.0,2,10,28.0,
2020-10-22,700.0,100.0,220.0,500.0,0.0,3,10,33.0,
2020-10-23,920.0,700.0,100.0,220.0,660.0,4,10,51.0,
2020-10-24,660.0,920.0,700.0,100.0,360.0,5,10,78.0,
2020-10-25,460.0,660.0,920.0,700.0,180.0,6,10,40.0,
2020-10-26,1000.0,460.0,660.0,920.0,500.0,0,10,51.0,
2020-10-27,0.0,1000.0,460.0,660.0,220.0,1,10,50.0,
2020-10-28,320.0,0.0,1000.0,460.0,100.0,2,10,58.0,
2020-10-29,340.0,320.0,0.0,1000.0,700.0,3,10,62.0,
2020-10-30,740.0,340.0,320.0,0.0,920.0,4,10,59.0,
2020-10-31,440.0,740.0,340.0,320.0,660.0,5,10,50.0,
2020-11-01,1600.0,440.0,740.0,340.0,460.0,6,11,49.0,
2020-11-02,40.0,1600.0,440.0,740.0,1000.0,0,11,80.0,
2020-11-03,500.0,40.0,1600.0,440.0,0.0,1,11,79.0,
2020-11-04,400.0,500.0,40.0,1600.0,320.0,2,11,91.0,
2020-11-05,1000.0,400.0,500.0,40.0,340.0,3,11,19.0,
2020-11-06,260.0,1000.0,400.0,500.0,740.0,4,11,17.0,
