Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2021-07-17,120.0,400.0,600.0,1240.0,260.0,5,7,,
2021-07-18,360.0,120.0,400.0,600.0,200.0,6,7,,29.0
2021-07-19,1040.0,360.0,120.0,400.0,800.0,0,7,62.0,38.0
2021-07-20,500.0,1040.0,360.0,120.0,840.0,1,7,58.0,34.0
2021-07-21,100.0,500.0,1040.0,360.0,1240.0,2,7,45.0,18.0
2021-07-22,420.0,100.0,500.0,1040.0,600.0,3,7,29.0,34.0
2021-07-23,0.0,420.0,100.0,500.0,400.0,4,7,73.0,30.0
2021-07-24,520.0,0.0,420.0,100.0,120.0,5,7,60.0,
2021-07-25,1000.0,520.0,0.0,420.0,360.0,6,7,,
2021-07-26,600.0,1000.0,520.0,0.0,1040.0,0,7,,
2021-07-27,200.0,600.0,1000.0,520.0,500.0,1,7,,
2021-07-28,640.0,200.0,600.0,1000.0,100.0,2,7,,
2021-07-29,860.0,640.0,200.0,600.0,420.0,3,7,,
2021-07-30,280.0,860.0,640.0,200.0,0.0,4,7,,
2021-07-31,120.0,280.0,860.0,640.0,520.0,5,7,,
2021-08-01,480.0,120.0,280.0,860.0,1000.0,6,8,,
2021-08-02,60.0,480.0,120.0,280.0,600.0,0,8,,
2021-08-03,1920.0,60.0,480.0,120.0,200.0,1,8,,
2021-08-04,720.0,1920.0,60.0,480.0,640.0,2,8,,
2021-08-05,0.0,720.0,1920.0,60.0,860.0,3,8,,
2021-08-06,0.0,0.0,720.0,1920.0,280.0,4,8,,
2021-08-07,260.0,0.0,0.0,720.0,120.0,5,8,,
2021-08-08,0.0,260.0,0.0,0.0,480.0,6,8,,
2021-08-09,520.0,0.0,260.0,0.0,60.0,0,8,,
