date, pm25, pm10
2020/7/28, 27, 36
2020/7/29, 40, 30
2020/7/30, 36, 30
2020/7/31, 43, 32
2020/8/1, 45, 28
2020/8/2, 36, 17
2020/8/3, 25, 23
2020/8/4, 26, 30
2020/8/5, 38, 28
2020/8/6, 38, 40
2020/8/7, 32, 13
2020/8/8, 16, 16
2020/8/9, 21, 14
2020/8/10, 21, 21
2020/8/11, 19, 21
2020/8/12, 18, 27
2020/8/13, 26, 23
2020/8/14, 32, 29
2020/8/15, 39, 24
2020/8/16, 32, 22
2020/8/17, 33, 43
2020/8/18, 34, 31
2020/8/19, 38, 23
2020/8/20, 24, 
2020/8/21, 26, 
2020/8/22, 31, 
2020/8/23, 27, 
2020/8/24, 30, 
2020/8/25, 52, 
2020/8/26, 41, 
2020/8/27, 34, 
2020/8/28, 32, 
2020/8/29, 38, 
2020/8/30, 30, 
2020/8/31, 15, 
2020/9/1, 23, 
2020/9/2, 37, 
2020/9/3, 20, 
2020/9/4, 26, 
2020/9/5, 31, 
2020/9/6, 54, 
2020/9/7, 42, 
2020/9/8, 24, 
2020/9/9, 36, 
2020/9/10, 42, 
2020/9/11, 52, 
2020/9/12, 59, 
2020/9/13, 306, 
2020/9/14, 420, 
2020/9/15, 304, 
2020/9/16, 248, 
2020/9/17, 197, 
2020/9/18, 165, 
2020/9/19, 187, 
2020/9/20, 80, 
2020/9/21, 31, 
2020/9/22, 35, 
2020/9/23, 52, 
2020/9/24, 61, 
2020/9/25, 18, 
2020/9/26, 20, 
2020/9/27, 18, 
2020/9/28, 23, 
2020/9/29, 23, 
2020/9/30, 33, 
2020/10/1, 31, 
2020/4/2, 13, 9
2020/4/3, 18, 12
2020/4/4, 13, 11
2020/4/5, 19, 8
2020/4/6, 21, 14
2020/4/7, 27, 21
2020/4/8, 24, 28
2020/4/9, 40, 27
2020/4/10, 34, 28
2020/4/11, 32, 13
2020/4/12, 15, 15
2020/4/13, 30, 21
2020/4/14, 34, 22
2020/4/15, 18, 15
2020/4/16, 20, 14
2020/4/17, 18, 26
2020/4/18, 32, 21
2020/4/19, 33, 14
2020/4/20, 28, 23
2020/4/21, 25, 26
2020/4/22, 24, 15
2020/4/23, 13, 8
2020/4/24, 14, 10
2020/4/25, 13, 12
2020/4/26, 15, 11
2020/4/27, 21, 22
2020/4/28, 12, 17
2020/4/29, 14, 25
2020/4/30, 22, 28
2020/5/1, 13, 16
